MW Power (W),Working Pressure (mbar),Gas Flowrate Ratio (%C2H2),Hardness (GPa),Young's Modulus (GPa)
1032,0.009,40,2.1,15.1
1032,0.009,41,2.2,15.2
1032,0.009,42,2.2,15.4
1032,0.009,43,2.2,15.5
1032,0.009,44,2.3,15.6
1032,0.009,45,2.3,15.8
1032,0.009,46,2.4,15.9
1032,0.009,47,2.4,16.0
1032,0.009,48,2.4,16.2
1032,0.009,49,2.5,16.3
1032,0.009,50,2.5,16.4
1032,0.009,51,2.6,16.6
1032,0.009,52,2.6,16.7
1032,0.009,53,2.6,16.8
1032,0.009,54,2.7,17.0
1032,0.009,55,2.7,17.1
1032,0.009,56,2.7,17.2
1032,0.009,57,2.8,17.4
1032,0.009,58,2.8,17.5
1032,0.009,59,2.9,17.6
1032,0.009,60,2.9,17.8
1032,0.009,61,2.9,17.9
1032,0.009,62,3.0,18.0
1032,0.009,63,3.0,18.1
1032,0.009,64,3.0,18.3
1032,0.009,65,3.1,18.4
1032,0.009,66,3.1,18.5
1032,0.009,67,3.2,18.7
1032,0.009,68,3.2,18.8
1032,0.009,69,3.2,18.9
1032,0.009,70,3.3,19.1
1032,0.009,71,3.3,19.2
1032,0.009,72,3.3,19.3
1032,0.009,73,3.4,19.5
1032,0.009,74,3.4,19.6
1032,0.009,75,3.5,19.7
1032,0.009,76,3.5,19.8
1032,0.009,77,3.5,20.0
1032,0.009,78,3.6,20.1
1032,0.009,79,3.6,20.2
1032,0.009,80,3.6,20.4
1032,0.009,81,3.7,20.5
1032,0.009,82,3.7,20.6
1032,0.009,83,3.8,20.8
1032,0.009,84,3.8,20.9
1032,0.009,85,3.8,21.0
1032,0.009,86,3.9,21.2
1032,0.009,87,3.9,21.3
1032,0.009,88,3.9,21.4
1032,0.009,89,4.0,21.5
1032,0.009,90,4.0,21.7
1032,0.009,91,4.0,21.8
1032,0.009,92,4.1,21.9
1032,0.009,93,4.1,22.1
1032,0.009,94,4.2,22.2
1032,0.009999999999999998,40,2.2,15.0
1032,0.009999999999999998,41,2.2,15.1
1032,0.009999999999999998,42,2.2,15.3
1032,0.009999999999999998,43,2.3,15.4
1032,0.009999999999999998,44,2.3,15.5
1032,0.009999999999999998,45,2.4,15.7
1032,0.009999999999999998,46,2.4,15.8
1032,0.009999999999999998,47,2.4,15.9
1032,0.009999999999999998,48,2.5,16.1
1032,0.009999999999999998,49,2.5,16.2
1032,0.009999999999999998,50,2.6,16.3
1032,0.009999999999999998,51,2.6,16.5
1032,0.009999999999999998,52,2.6,16.6
1032,0.009999999999999998,53,2.7,16.7
1032,0.009999999999999998,54,2.7,16.9
1032,0.009999999999999998,55,2.8,17.0
1032,0.009999999999999998,56,2.8,17.1
1032,0.009999999999999998,57,2.8,17.3
1032,0.009999999999999998,58,2.9,17.4
1032,0.009999999999999998,59,2.9,17.5
1032,0.009999999999999998,60,3.0,17.7
1032,0.009999999999999998,61,3.0,17.8
1032,0.009999999999999998,62,3.0,17.9
1032,0.009999999999999998,63,3.1,18.1
1032,0.009999999999999998,64,3.1,18.2
1032,0.009999999999999998,65,3.2,18.3
1032,0.009999999999999998,66,3.2,18.5
1032,0.009999999999999998,67,3.2,18.6
1032,0.009999999999999998,68,3.3,18.7
1032,0.009999999999999998,69,3.3,18.9
1032,0.009999999999999998,70,3.3,19.0
1032,0.009999999999999998,71,3.4,19.1
1032,0.009999999999999998,72,3.4,19.3
1032,0.009999999999999998,73,3.4,19.4
1032,0.009999999999999998,74,3.5,19.5
1032,0.009999999999999998,75,3.5,19.6
1032,0.009999999999999998,76,3.6,19.8
1032,0.009999999999999998,77,3.6,19.9
1032,0.009999999999999998,78,3.6,20.0
1032,0.009999999999999998,79,3.7,20.2
1032,0.009999999999999998,80,3.7,20.3
1032,0.009999999999999998,81,3.7,20.4
1032,0.009999999999999998,82,3.8,20.6
1032,0.009999999999999998,83,3.8,20.7
1032,0.009999999999999998,84,3.8,20.8
1032,0.009999999999999998,85,3.9,21.0
1032,0.009999999999999998,86,3.9,21.1
1032,0.009999999999999998,87,4.0,21.2
1032,0.009999999999999998,88,4.0,21.4
1032,0.009999999999999998,89,4.0,21.5
1032,0.009999999999999998,90,4.1,21.6
1032,0.009999999999999998,91,4.1,21.7
1032,0.009999999999999998,92,4.1,21.9
1032,0.009999999999999998,93,4.2,22.0
1032,0.009999999999999998,94,4.2,22.1
1032,0.010999999999999998,40,2.5,16.3
1032,0.010999999999999998,41,2.5,16.4
1032,0.010999999999999998,42,2.5,16.5
1032,0.010999999999999998,43,2.6,16.7
1032,0.010999999999999998,44,2.6,16.8
1032,0.010999999999999998,45,2.7,16.9
1032,0.010999999999999998,46,2.7,17.0
1032,0.010999999999999998,47,2.7,17.1
1032,0.010999999999999998,48,2.8,17.2
1032,0.010999999999999998,49,2.8,17.4
1032,0.010999999999999998,50,2.8,17.5
1032,0.010999999999999998,51,2.9,17.6
1032,0.010999999999999998,52,2.9,17.7
1032,0.010999999999999998,53,3.0,17.8
1032,0.010999999999999998,54,3.0,17.9
1032,0.010999999999999998,55,3.0,18.1
1032,0.010999999999999998,56,3.1,18.2
1032,0.010999999999999998,57,3.1,18.3
1032,0.010999999999999998,58,3.1,18.4
1032,0.010999999999999998,59,3.2,18.5
1032,0.010999999999999998,60,3.2,18.6
1032,0.010999999999999998,61,3.2,18.8
1032,0.010999999999999998,62,3.3,18.9
1032,0.010999999999999998,63,3.3,19.0
1032,0.010999999999999998,64,3.4,19.1
1032,0.010999999999999998,65,3.4,19.2
1032,0.010999999999999998,66,3.4,19.3
1032,0.010999999999999998,67,3.5,19.5
1032,0.010999999999999998,68,3.5,19.6
1032,0.010999999999999998,69,3.5,19.7
1032,0.010999999999999998,70,3.6,19.8
1032,0.010999999999999998,71,3.6,19.9
1032,0.010999999999999998,72,3.6,20.0
1032,0.010999999999999998,73,3.7,20.1
1032,0.010999999999999998,74,3.7,20.3
1032,0.010999999999999998,75,3.7,20.4
1032,0.010999999999999998,76,3.8,20.5
1032,0.010999999999999998,77,3.8,20.6
1032,0.010999999999999998,78,3.8,20.7
1032,0.010999999999999998,79,3.9,20.8
1032,0.010999999999999998,80,3.9,20.9
1032,0.010999999999999998,81,3.9,21.1
1032,0.010999999999999998,82,4.0,21.2
1032,0.010999999999999998,83,4.0,21.3
1032,0.010999999999999998,84,4.0,21.4
1032,0.010999999999999998,85,4.1,21.5
1032,0.010999999999999998,86,4.1,21.6
1032,0.010999999999999998,87,4.1,21.8
1032,0.010999999999999998,88,4.2,21.9
1032,0.010999999999999998,89,4.2,22.0
1032,0.010999999999999998,90,4.2,22.1
1032,0.010999999999999998,91,4.3,22.2
1032,0.010999999999999998,92,4.3,22.3
1032,0.010999999999999998,93,4.3,22.4
1032,0.010999999999999998,94,4.4,22.6
1032,0.011999999999999997,40,2.8,17.7
1032,0.011999999999999997,41,2.8,17.8
1032,0.011999999999999997,42,2.9,17.9
1032,0.011999999999999997,43,2.9,18.0
1032,0.011999999999999997,44,2.9,18.1
1032,0.011999999999999997,45,3.0,18.2
1032,0.011999999999999997,46,3.0,18.4
1032,0.011999999999999997,47,3.0,18.5
1032,0.011999999999999997,48,3.1,18.6
1032,0.011999999999999997,49,3.1,18.7
1032,0.011999999999999997,50,3.2,18.8
1032,0.011999999999999997,51,3.2,18.9
1032,0.011999999999999997,52,3.2,19.1
1032,0.011999999999999997,53,3.3,19.2
1032,0.011999999999999997,54,3.3,19.3
1032,0.011999999999999997,55,3.3,19.4
1032,0.011999999999999997,56,3.4,19.5
1032,0.011999999999999997,57,3.4,19.6
1032,0.011999999999999997,58,3.4,19.8
1032,0.011999999999999997,59,3.5,19.9
1032,0.011999999999999997,60,3.5,20.0
1032,0.011999999999999997,61,3.6,20.1
1032,0.011999999999999997,62,3.6,20.2
1032,0.011999999999999997,63,3.6,20.3
1032,0.011999999999999997,64,3.7,20.5
1032,0.011999999999999997,65,3.7,20.6
1032,0.011999999999999997,66,3.7,20.7
1032,0.011999999999999997,67,3.8,20.8
1032,0.011999999999999997,68,3.8,20.9
1032,0.011999999999999997,69,3.8,21.0
1032,0.011999999999999997,70,3.9,21.2
1032,0.011999999999999997,71,3.9,21.3
1032,0.011999999999999997,72,4.0,21.4
1032,0.011999999999999997,73,4.0,21.5
1032,0.011999999999999997,74,4.0,21.6
1032,0.011999999999999997,75,4.1,21.7
1032,0.011999999999999997,76,4.1,21.9
1032,0.011999999999999997,77,4.1,22.0
1032,0.011999999999999997,78,4.2,22.1
1032,0.011999999999999997,79,4.2,22.2
1032,0.011999999999999997,80,4.2,22.3
1032,0.011999999999999997,81,4.3,22.4
1032,0.011999999999999997,82,4.3,22.5
1032,0.011999999999999997,83,4.3,22.7
1032,0.011999999999999997,84,4.4,22.8
1032,0.011999999999999997,85,4.4,22.9
1032,0.011999999999999997,86,4.4,23.0
1032,0.011999999999999997,87,4.5,23.1
1032,0.011999999999999997,88,4.5,23.2
1032,0.011999999999999997,89,4.5,23.3
1032,0.011999999999999997,90,4.6,23.5
1032,0.011999999999999997,91,4.6,23.6
1032,0.011999999999999997,92,4.6,23.7
1032,0.011999999999999997,93,4.7,23.8
1032,0.011999999999999997,94,4.7,23.9
1032,0.012999999999999996,40,3.1,19.0
1032,0.012999999999999996,41,3.1,19.1
